"","ATEMP_SUMMER_HIST_HUC12","WOODY_VEG_PCT_HUC12","N_RED_DRYDEP_HUC12","HUC12_join","preds"
"380",25.04,5.4,1.530532442,170501031103,NA
"381",22.23,32.39,3.341377088,70802060401,NA
"382",18.11,58.07,0.432413838,171001060306,NA
"383",23.05,13.87,4.203453357,70802090705,NA
"384",22.98,27.04,1.064670965,20301050106,NA
"385",22.38,7.65,2.977887541,71000040911,NA
"386",22.55,4.9,3.232563336,102300050308,NA
"387",20.4,44.9,2.574720758,40500030911,NA
"388",24.22,90.91,0.633248736,50702010308,NA
"389",32.07,85.36,0.279920318,130700010402,NA
"390",19.2,91.05,0.807509586,20401060204,NA
"391",20.92,52.92,0.742269113,10700040402,NA
"392",20.25,7.55,4.933948205,71000010806,NA
"393",20.37,55.61,1.4397746,40601020906,NA
"394",19.87,80.21,0.562809521,10802040106,NA
"395",23.47,4.87,2.086273563,50800020105,NA
"396",24.21,39.62,1.606113492,51202081003,NA
"397",23.35,11.55,3.036204577,101500070904,NA
"398",29.38,0.23,5.811769427,180400020202,NA
"399",23.78,23.8,1.515906229,51202030706,NA
"400",21.51,25.87,2.855387155,70600061007,NA
"401",24.07,28.74,1.389687991,51201081607,NA
"402",22.3,19.87,2.285915809,51201030601,NA
"403",21.58,77.68,0.728256101,11000060102,NA
"404",26.65,31.69,1.602226448,110300010102,NA
"405",18.88,78.78,0.984156305,41503060408,NA
"406",20.4,32.09,2.841064465,70400010403,NA
"407",27.52,69.81,2.003339343,30402030204,NA
"408",28.14,2.08,3.30637507,180201110202,NA
"409",21.88,19.44,2.093374911,40400010509,NA
"410",24.2,74.56,0.647154585,50500070909,NA
"411",26.89,33.71,4.359462346,110702090307,NA
"412",17.83,81.57,0.332347866,110200010710,NA
"413",18.78,15.73,1.223441446,40400020306,NA
"414",24.83,79.13,0.782231764,60102050804,NA
"415",27.47,51.06,1.17291686,30701030405,NA
"416",19.73,4.63,2.851849047,40302011205,NA
"417",19.74,18.27,2.090740557,71200040104,NA
"418",23.32,33.28,1.532993801,51202040705,NA
"419",19.85,47.53,2.289818398,40302021902,NA
"420",28.83,87.93,1.43022141,30501100310,NA
"421",21.39,61.52,0.998223185,20503020305,NA
"422",28.75,59.89,2.0733528,30502030304,NA
"423",21.3,12.29,2.484175442,170900100503,NA
"424",19.73,9.06,1.808478526,40802060204,NA
"425",21.79,13.05,3.472349529,70802080405,NA
"426",18.35,88.96,0.548020571,90300060705,NA
"427",21.36,10.78,1.86695006,170900100404,NA
"428",20.54,56.74,1.595483069,70700031809,NA
"429",18.6,29.7,1.757286976,40301040506,NA
"430",22.1,3.83,2.887346494,41000070904,NA
